cust_id,Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone
1,250635,Comcast Cable Internet Speeds,22-04-15,22-Apr-15,3:53:50 PM,Customer Care Call,Abingdon,Maryland,21009,Closed,No
2,223441,Payment disappear - service got disconnected,08-04-2015,04-Aug-15,10:22:56 AM,Internet,Acworth,Georgia,30102,Closed,No
3,242732,Speed and Service,18-04-15,18-Apr-15,9:55:47 AM,Internet,Acworth,Georgia,30101,Closed,Yes
4,277946,Comcast Imposed a New Usage Cap of 300GB that punishes streaming.,07-05-2015,05-Jul-15,11:59:35 AM,Internet,Acworth,Georgia,30101,Open,Yes
5,307175,Comcast not working and no service to boot,26-05-15,26-May-15,1:25:26 PM,Internet,Acworth,Georgia,30101,Solved,No
6,338519,ISP Charging for arbitrary data limits with overage fees,12-06-2015,06-Dec-15,9:59:40 PM,Internet,Acworth,Georgia,30101,Solved,No
7,361148,Throttling service and unreasonable data caps,24-06-15,24-Jun-15,10:13:55 AM,Customer Care Call,Acworth,Georgia,30101,Pending,No
8,359792,Comcast refuses to help troubleshoot and correct my service.,23-06-15,23-Jun-15,6:56:14 PM,Internet,Adrian,Michigan,49221,Solved,No
9,318072,Comcast extended outages,01-06-2015,06-Jan-15,11:46:30 PM,Customer Care Call,Alameda,California,94502,Closed,No
10,371214,Comcast Raising Prices and Not Being Available To Ask Why,28-06-15,28-Jun-15,6:46:31 PM,Customer Care Call,Alameda,California,94501,Open,Yes
11,255938,Billing after service was asked to be disconnected,24-04-15,24-Apr-15,4:40:36 PM,Internet,Albuquerque,New Mexico,87106,Closed,No
12,276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,06-05-2015,05-Jun-15,3:09:49 PM,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No
13,339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,13-06-15,13-Jun-15,4:03:18 PM,Internet,Albuquerque,New Mexico,87105,Open,Yes
14,360178,Internet speed,23-06-15,23-Jun-15,9:23:23 PM,Internet,Albuquerque,New Mexico,87113,Solved,No
15,376268,Internet Disconnects Every Night,30-06-15,30-Jun-15,10:30:02 PM,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No
16,370137,Internet complaint,27-06-15,27-Jun-15,3:25:03 PM,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No
17,363695,Internet Availability and Speed,24-06-15,24-Jun-15,11:47:33 PM,Customer Care Call,Alexandria,Indiana,46001,Solved,No
18,238694,Comcast owes me $65 and claims I need to return equipment I never had,16-04-15,16-Apr-15,10:04:57 AM,Internet,Alexandria,Virginia,22304,Closed,No
19,230876,Horrible Internet Service,11-04-2015,04-Nov-15,7:48:05 PM,Customer Care Call,Alexandria,Virginia,22305,Closed,No
20,318725,Failure to provide services that I am billed for.,02-06-2015,06-Feb-15,1:03:52 PM,Customer Care Call,Alexandria,Virginia,22314,Closed,No
21,327657,Internet out all the time but they have a monopoly,07-06-2015,06-Jul-15,8:55:43 PM,Customer Care Call,Alexandria,Virginia,22305,Solved,No
22,328742,horrible cable service and customer service,08-06-2015,06-Aug-15,3:18:58 PM,Internet,Alexandria,Virginia,22312,Solved,No
23,328165,Speed,08-06-2015,06-Aug-15,12:03:37 PM,Customer Care Call,Alexandria,Virginia,22304,Solved,No
24,370538,Comcast monopoly bundling practices,27-06-15,27-Jun-15,9:04:34 PM,Internet,Alexandria,Virginia,22304,Open,No
25,370363,COMCAST!,27-06-15,27-Jun-15,6:37:29 PM,Internet,Alexandria,Virginia,22305,Solved,No
26,270163,bait and switch,02-05-2015,05-Feb-15,3:55:24 PM,Internet,Algonquin,Illinois,60102,Open,Yes
27,355976,Comcast Customer Service,22-06-15,22-Jun-15,2:10:39 PM,Internet,Aliquippa,Pennsylvania,15001,Open,No
28,260651,Apartment Management's Exclusivity Contract with Comcast,28-04-15,28-Apr-15,8:01:46 AM,Customer Care Call,Allston,Massachusetts,2134,Closed,No
